time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-19T07:22:07.680Z,40.7258333,-112.0943333,11,1.45,ml,17,85,0.04055,0.1,uu,uu60366157,2020-03-19T21:13:33.470Z,"1km NNE of Magna, Utah",earthquake,0.35,0.64,0.24,3,reviewed,uu,uu
2020-03-19T07:13:06.283Z,40.7526,-112.0405,10.16,1.2,ml,,70,0.228,0.33,us,us70008c0h,2020-03-19T22:00:01.040Z,"7km NNW of West Valley City, Utah",earthquake,1.4,8,0.085,18,reviewed,us,us
2020-03-19T06:41:01.740Z,40.7618333,-112.0676667,8.34,1.68,ml,35,51,0.03412,0.22,uu,uu60366112,2020-03-20T02:52:59.045Z,"6km NNE of Magna, Utah",earthquake,0.33,0.76,0.163,7,reviewed,uu,uu
2020-03-19T06:10:30.860Z,40.7716667,-112.0776667,9.69,1.8,ml,38,54,0.03817,0.19,uu,uu60366077,2020-03-20T02:34:51.122Z,"7km NNE of Magna, Utah",earthquake,0.29,0.74,0.077,9,reviewed,uu,uu
2020-03-19T05:41:40.540Z,40.779,-112.073,9.76,1.47,ml,32,55,0.03411,0.2,uu,uu60366017,2020-03-19T22:32:09.080Z,"8km NNE of Magna, Utah",earthquake,0.31,0.82,0.074,3,reviewed,uu,uu
2020-03-19T05:04:54.050Z,40.738,-112.0765,8.98,1.89,ml,31,47,0.03278,0.18,uu,uu60020279,2020-03-19T13:30:20.200Z,"3km NNE of Magna, Utah",earthquake,0.34,0.7,0.135,5,reviewed,uu,uu
2020-03-19T05:04:06.620Z,40.7301667,-112.0618333,9.57,2.21,ml,28,52,0.01998,0.11,uu,uu60365977,2020-03-20T02:42:41.198Z,"4km NE of Magna, Utah",earthquake,0.24,0.51,0.138,11,reviewed,uu,uu
2020-03-19T04:21:12.510Z,40.7403333,-112.069,8.42,2.05,ml,11,86,0.01489,0.18,uu,uu60365907,2020-03-20T16:07:28.159Z,"4km NE of Magna, Utah",earthquake,0.75,0.84,0.102,11,reviewed,uu,uu
2020-03-19T04:20:32.530Z,40.7535,-112.065,9.76,1.03,ml,19,54,0.03454,0.11,uu,uu60365902,2020-03-20T17:05:04.240Z,"5km NNE of Magna, Utah",earthquake,0.27,0.57,0.197,3,reviewed,uu,uu
2020-03-19T04:13:36.160Z,40.7625,-112.0706667,8.8,1.71,ml,37,51,0.03585,0.21,uu,uu60365892,2020-03-20T16:07:45.292Z,"6km NNE of Magna, Utah",earthquake,0.29,0.83,0.174,4,reviewed,uu,uu
2020-03-19T03:58:53.410Z,40.7475,-112.0456667,8.9,1.94,ml,38,45,0.02183,0.24,uu,uu60365862,2020-03-19T19:23:18.463Z,"6km NE of Magna, Utah",earthquake,0.32,0.81,0.124,8,reviewed,uu,uu
2020-03-19T03:56:51.050Z,40.7416667,-112.0648333,8.81,1.05,ml,12,106,0.02646,0.09,uu,uu60365857,2020-03-22T19:24:51.390Z,"4km NE of Magna, Utah",earthquake,0.35,0.61,0.341,3,reviewed,uu,uu
2020-03-19T03:34:14.320Z,40.774,-112.0735,9.04,1.13,ml,18,101,0.0208,0.15,uu,uu60365822,2020-03-20T18:36:21.050Z,"7km NNE of Magna, Utah",earthquake,0.35,0.7,0.02,2,reviewed,uu,uu
2020-03-19T03:29:20.030Z,40.7488333,-112.041,8.16,1.81,ml,32,52,0.0222,0.19,uu,uu60365812,2020-03-20T02:50:27.184Z,"6km NE of Magna, Utah",earthquake,0.27,0.72,0.118,9,reviewed,uu,uu
2020-03-19T02:53:09.140Z,40.7581667,-112.0681667,9.19,1.67,ml,15,79,0.008951,0.13,uu,uu60365752,2020-03-22T19:24:09.360Z,"6km NNE of Magna, Utah",earthquake,0.35,0.66,0.236,4,reviewed,uu,uu
2020-03-19T02:52:34.630Z,40.7696667,-112.0873333,8.56,1.8,ml,32,56,0.04575,0.18,uu,uu60365747,2020-03-20T02:50:06.804Z,"6km N of Magna, Utah",earthquake,0.26,0.7,0.171,6,reviewed,uu,uu
2020-03-19T02:49:31.570Z,40.7593333,-112.078,5.41,1.33,ml,21,61,0.04224,0.22,uu,uu60365742,2020-03-19T22:13:00.620Z,"5km NNE of Magna, Utah",earthquake,0.35,1.23,0.182,2,reviewed,uu,uu
2020-03-19T02:42:25.880Z,40.7741667,-112.0613333,2.78,2.08,ml,36,52,0.1217,0.2,uu,uu60365727,2020-03-19T14:03:16.936Z,"7km NNE of Magna, Utah",earthquake,0.28,2.72,0.108,12,reviewed,uu,uu
2020-03-19T02:41:21.000Z,40.7555,-112.0791667,8.29,1.55,ml,27,53,0.04353,0.22,uu,uu60365722,2020-03-19T20:10:09.500Z,"5km NNE of Magna, Utah",earthquake,0.38,1,0.089,6,reviewed,uu,uu
2020-03-19T02:34:19.750Z,40.7488333,-112.0656667,8.91,2.96,ml,47,48,0.03147,0.16,uu,uu60365717,2020-03-23T03:22:58.462Z,"4km NNE of Magna, Utah",earthquake,0.24,0.51,0.223,19,reviewed,uu,uu
2020-03-19T01:54:58.090Z,40.7503333,-112.0368333,6.66,1.94,ml,28,56,0.108,0.16,uu,uu60365647,2020-03-19T20:23:57.763Z,"7km NNW of West Valley City, Utah",earthquake,0.31,1.32,0.049,10,reviewed,uu,uu
2020-03-19T01:53:48.220Z,40.7246667,-112.0816667,10.33,2.3,ml,23,88,0.03487,0.15,uu,uu60365642,2020-03-19T17:17:45.999Z,"2km NE of Magna, Utah",earthquake,0.31,0.69,0.128,12,reviewed,uu,uu
2020-03-19T00:44:47.420Z,40.7473333,-112.0418333,8.14,1.93,ml,39,44,0.02086,0.17,uu,uu60365512,2020-03-19T03:40:21.372Z,"6km NE of Magna, Utah",earthquake,0.24,0.62,0.102,10,reviewed,uu,uu
2020-03-19T00:26:26.190Z,40.7306667,-112.0465,9.23,1.74,ml,28,40,0.008884,0.19,uu,uu60365482,2020-03-21T22:43:01.917Z,"5km NW of West Valley City, Utah",earthquake,0.32,0.77,0.113,8,reviewed,uu,uu
2020-03-19T00:09:15.790Z,40.7423333,-112.0425,9.12,1.39,ml,23,55,0.01617,0.1,uu,uu60365457,2020-03-19T20:19:37.200Z,"6km NNW of West Valley City, Utah",earthquake,0.26,0.58,0.154,5,reviewed,uu,uu
2020-03-19T00:04:51.320Z,40.7335,-112.0665,9.42,1.68,ml,27,50,0.02417,0.12,uu,uu60365452,2020-03-19T08:07:30.634Z,"4km NE of Magna, Utah",earthquake,0.27,0.48,0.198,6,reviewed,uu,uu
2020-03-18T23:33:49.420Z,40.7556667,-112.0423333,7.74,1.98,ml,36,45,0.02479,0.22,uu,uu60365402,2020-03-19T15:17:26.580Z,"7km NNW of West Valley City, Utah",earthquake,0.29,0.78,0.163,12,reviewed,uu,uu
